Size_class_in,Size_Class_cm, Beech_Stem_Density ,Beech_stems_ha,Beech_LN_Stem_Density, SM_stem_Density , SM_stems_ha ,SM_LN_Stem_Density, All_stem_density ,All_stems_ha,All_LN_Stem_Density
1,2.54,,,," 16,011,045 "," 6,479,446 ",15.68414555," 40,152,461 "," 16,249,138.78 ",16.60355047
2,5.08," 39,049,096 "," 15,802,622 ",16.57568646," 32,066,007 "," 12,976,664 ",16.37866322," 399,300,245 "," 161,591,218.81 ",18.90058036
3,7.62,,,," 23,022,388 "," 9,316,838 ",16.04733387," 220,886,410 "," 89,389,637.69 ",18.30851532
4,10.16," 16,138,208 "," 6,530,907 ",15.69205634," 9,981,148 "," 4,039,231 ",15.21156482," 144,750,042 "," 58,578,315.44 ",17.88587514
5,12.7," 338,433 "," 136,959 ",11.82743757," 5,716,530 "," 2,313,400 ",14.65422878," 112,887,455 "," 45,683,972.66 ",17.63725809
6,15.24," 4,087,048 "," 1,653,971 ",14.31868978," 4,873,451 "," 1,972,217 ",14.49466895," 105,350,506 "," 42,633,874.67 ",17.56815968
7,17.78," 3,132,788 "," 1,267,795 ",14.05279008," 3,904,031 "," 1,579,907 ",14.27287635," 98,162,909 "," 39,725,155.12 ",17.49749518
8,20.32," 2,287,988 "," 925,917 ",13.73853957," 4,320,322 "," 1,748,374 ",14.37419663," 78,858,951 "," 31,913,113.53 ",17.27852757
9,22.86," 790,369 "," 319,851 ",12.67561111," 3,689,443 "," 1,493,066 ",14.2163421," 62,171,011 "," 25,159,737.95 ",17.04075557
10,25.4," 794,124 "," 321,371 ",12.68035105," 1,992,457 "," 806,319 ",13.60023523," 50,359,481 "," 20,379,777.09 ",16.83005365
11,27.94," 410,022 "," 165,930 ",12.01932316," 841,574 "," 340,573 ",12.73838507," 36,671,594 "," 14,840,480.58 ",16.51286918
12,30.48," 690,472 "," 279,424 ",12.54048658," 884,467 "," 357,931 ",12.78809636," 29,922,322 "," 12,109,144.70 ",16.30947149
13,33.02," 740,798 "," 299,791 ",12.61083986," 1,264,491 "," 511,722 ",13.14553642," 22,818,423 "," 9,234,296.34 ",16.03843497
14,35.56," 304,584 "," 123,261 ",11.72205974," 619,435 "," 250,677 ",12.43191913," 15,422,472 "," 6,241,258.63 ",15.64669242
15,38.1," 486,429 "," 196,851 ",12.19020224," 451,017 "," 182,520 ",12.11461641," 12,356,147 "," 5,000,359.51 ",15.42502037
16,40.64," 167,674 "," 67,855 ",11.12513362," 259,449 "," 104,996 ",11.56167348," 8,738,712 "," 3,536,434.44 ",15.07862956
17,43.18," 55,736 "," 22,556 ",10.02374456," 162,102 "," 65,600 ",11.09133499," 7,017,237 "," 2,839,777.43 ",14.85923624
18,45.72," 259,624 "," 105,066 ",11.56234707," 198,797 "," 80,451 ",11.29539752," 5,122,100 "," 2,072,842.25 ",14.54443129
19,48.26," 114,334 "," 46,269 ",10.74223545," 234,134 "," 94,751 ",11.459005," 3,432,539 "," 1,389,100.43 ",14.14416692
20,50.8," 52,330 "," 21,177 ",9.96068863," 53,139 "," 21,505 ",9.976024141," 2,057,798 "," 832,761.97 ",13.63250313
21,53.34," 53,314 "," 21,576 ",9.979318227," 82,176 "," 33,255 ",10.41196976," 1,625,932 "," 657,992.11 ",13.39694822
22,55.88," 79,392 "," 32,129 ",10.37750457," 81,453 "," 32,963 ",10.40313929," 1,531,339 "," 619,711.32 ",13.33700903
23,58.42,,,," 113,013 "," 45,735 ",10.73061291," 1,004,546 "," 406,525.63 ",12.91540226
24,60.96," 19,728 "," 7,984 ",8.985148725," 113,013 "," 45,735 ",10.73061291," 561,408 "," 227,194.01 ",12.33355961
25,63.5," 56,506 "," 22,867 ",10.03746573," 111,473 "," 45,111 ",10.71689174," 657,895 "," 266,240.76 ",12.49215631
26,66.04,,,," 34,474 "," 13,951 ",9.543304137," 239,538 "," 96,937.56 ",11.48182236
27,68.58,,,,,,," 228,987 "," 92,667.71 ",11.43677535
28,71.12,,,,,,," 203,134 "," 82,205.33 ",11.31697539
29,73.66,,,,,,," 270,762 "," 109,573.66 ",11.6043523
30,76.2,,,," 56,506 "," 22,867 ",10.03746573," 285,764 "," 115,644.65 ",11.65827744
31,78.74,,,," 55,736 "," 22,556 ",10.02374456," 268,517 "," 108,665.15 ",11.5960264
32,81.28,,,," 11,372 "," 4,602 ",8.434242415," 131,328 "," 53,146.72 ",10.8808116
33,83.82,,,," 56,506 "," 22,867 ",10.03746573," 116,871 "," 47,296.07 ",10.7641824
34,86.36,,,,,,," 29,001 "," 11,736.10 ",9.370424605
35,88.9,,,," 8,476 "," 3,430 ",8.140326927," 74,419 "," 30,116.42 ",10.31282588
36,91.44,,,,,,," 8,056 "," 3,260.13 ",8.08952119
37,93.98,,,," 7,668 "," 3,103 ",8.0401403," 7,668 "," 3,103.05 ",8.0401403
38,96.52,,,,,,,,,
39,99.06,,,,,,," 40,480 "," 16,381.86 ",9.703930024
40,101.6,,,,,,," 63,618 "," 25,745.17 ",10.15600235
