Size_class_in,Size_Class_cm, Beech_Stem_Density ,Beech_stems_ha,Beech_LN_Stem_Density, SM_stem_Density , SM_stems_ha ,SM_LN_Stem_Density, All_stem_density , All_stems_ha ,All_LN_Stem_Density
1,2.54," 325,781,029 "," 131,839,021.62 ",18.6970922," 151,844,532 "," 61,449,356.35 ",17.93372392," 4,547,137,891 "," 1,840,163,044.68 ",21.33312002
2,5.08," 53,043,379 "," 21,465,912.94 ",16.88197679," 16,088,528 "," 6,510,802.03 ",15.68897321," 454,187,018 "," 183,803,127.76 ",19.02937578
3,7.62," 6,508,827 "," 2,634,031.19 ",14.784026," 12,354,478 "," 4,999,684.14 ",15.4248853," 216,928,722 "," 87,788,016.64 ",18.29043556
4,10.16," 7,696,488 "," 3,114,660.84 ",14.95163083," 9,875,013 "," 3,996,279.59 ",15.20087438," 176,324,640 "," 71,356,113.36 ",18.08319358
5,12.7," 4,467,447 "," 1,807,913.16 ",14.40768379," 1,923,481 "," 778,405.64 ",13.56500306," 120,706,502 "," 48,848,231.46 ",17.70422873
6,15.24," 4,057,790 "," 1,642,131.00 ",14.31150535," 3,948,238 "," 1,597,796.52 ",14.28413606," 92,890,029 "," 37,591,294.32 ",17.44228305
7,17.78," 2,591,637 "," 1,048,799.14 ",13.86315639," 3,206,224 "," 1,297,513.96 ",14.07596066," 79,478,680 "," 32,163,908.94 ",17.28635554
8,20.32," 2,221,077 "," 898,838.89 ",13.70885909," 3,706,309 "," 1,499,891.39 ",14.22090326," 67,212,463 "," 27,199,942.60 ",17.11872542
9,22.86," 1,987,074 "," 804,140.83 ",13.5975297," 1,729,783 "," 700,018.79 ",13.45886245," 54,394,962 "," 22,012,879.46 ",16.90713827
10,25.4," 1,191,019 "," 481,988.90 ",13.08567637," 1,310,975 "," 530,533.07 ",13.18163758," 48,534,275 "," 19,641,141.42 ",16.79313698
11,27.94," 1,052,446 "," 425,910.20 ",12.96198379," 1,651,516 "," 668,345.21 ",13.41256011," 42,728,707 "," 17,291,709.45 ",16.66573772
12,30.48," 512,949 "," 207,583.34 ",12.24328818," 934,627 "," 378,230.64 ",12.84325943," 33,025,178 "," 13,364,827.14 ",16.40813697
13,33.02," 600,214 "," 242,898.17 ",12.40039758," 1,488,315 "," 602,300.13 ",13.30851116," 27,512,018 "," 11,133,728.70 ",16.22548968
14,35.56," 602,295 "," 243,740.36 ",12.40385883," 824,248 "," 333,561.47 ",12.71758246," 23,841,434 "," 9,648,294.48 ",16.08229172
15,38.1," 317,274 "," 128,396.39 ",11.76287757," 804,429 "," 325,541.32 ",12.69324467," 19,034,477 "," 7,702,986.56 ",15.85711868
16,40.64," 363,631 "," 147,156.50 ",11.89925192," 971,605 "," 393,195.04 ",12.88206104," 15,419,742 "," 6,240,153.70 ",15.64651537
17,43.18," 354,392 "," 143,417.63 ",11.87351611," 251,632 "," 101,832.00 ",11.53107963," 11,037,278 "," 4,466,631.95 ",15.3121452
18,45.72," 357,232 "," 144,566.71 ",11.88149637," 337,253 "," 136,481.55 ",11.82394474," 8,256,464 "," 3,341,275.42 ",15.02186315
19,48.26," 181,371 "," 73,398.16 ",11.20365418," 180,481 "," 73,037.99 ",11.19873498," 6,524,152 "," 2,640,233.07 ",14.78637776
20,50.8,, -   ,," 70,261 "," 28,433.83 ",10.25533502," 3,588,538 "," 1,452,231.01 ",14.18861156
21,53.34,, -   ,," 90,240 "," 36,518.99 ",10.5055878," 4,199,159 "," 1,699,340.76 ",14.34575094
22,55.88," 176,751 "," 71,528.73 ",11.17785441," 90,240 "," 36,518.99 ",10.5055878," 2,171,895 "," 878,935.46 ",13.68646675
23,58.42,, -   ,," 180,481 "," 73,037.99 ",11.19873498," 2,275,915 "," 921,030.95 ",13.73324892
24,60.96,, -   ,,, -   ,," 1,700,694 "," 688,247.19 ",13.44190334
25,63.5,, -   ,,, -   ,," 1,158,055 "," 468,648.65 ",13.05760862
26,66.04," 70,261 "," 28,433.83 ",10.25533502,, -   ,," 800,550 "," 323,971.41 ",12.68841054
27,68.58,, -   ,," 85,342 "," 34,536.63 ",10.44977587," 579,448 "," 234,494.50 ",12.36518742
28,71.12," 91,130 "," 36,879.17 ",10.51540213,,,," 679,738 "," 275,080.29 ",12.5248183
29,73.66,,,,,,," 760,713 "," 307,849.74 ",12.63736708
30,76.2,,,,,,," 428,035 "," 173,219.90 ",12.06231716
31,78.74,,,,,,," 189,344 "," 76,624.81 ",11.24667623
32,81.28,,,,,,," 275,855 "," 111,634.54 ",11.62298582
33,83.82,,,,,,,, -   ,
34,86.36,,,,,,,, -   ,
35,88.9,,,,,,," 78,751 "," 31,869.37 ",10.36940052
36,91.44,,,,,,," 264,152 "," 106,898.63 ",11.5796363
37,93.98,,,,,,,,,
38,96.52,,,,,,,,,
39,99.06,,,,,,,,,
40,101.6,,,,,,,,,
