Size_class_in,Size_Class_cm, Total_Beech_Stems , Beech_Stem_Density ,Beech_stems_ha,Beech_LN_Stem_Density,Beech_Dead,Beech_Dead_Density,Beech_Dead_ha,Beech_relative_mortality,Beech_RBM,SM_Total_Stems, SM_stem_Density ,SM_stems_ha,SM_LN_Stem_Density,SM_Dead,SM_Dead_Density,SM_Dead_ha,SM_relative_mortality,SM_RBM, All_stems , All_Stem_Density ,All_stems_ha,All_LN_Stem_Density,All_Dead,All_Dead_Density,All_Dead_ha,All_relative_mortality,All_RBM
1,2.54,22241188.57,4.775698238,1.932658217,0.65889637,,,,0,0.236996164,13305238.95,2.856942919,1.156164802,0.145108323,,,,0,0.207851892,234267790.3,50.30271965,20.3568064,3.013415323,,,,0,0.23239503
2,5.08,137149882.6,29.44925586,11.91770156,2.478024821,,,,0,0.236996164,98758639.75,21.20576697,8.58167701,2.14962935,,,,0,0.207851892,1408848615,302.5124233,122.4225425,4.807478524,,,,0,0.23239503
3,7.62,46151713.41,9.909841632,4.010374171,1.388884546,,,,0,0.236996164,39151957.74,8.406831991,3.402127211,1.224400886,,,,0,0.207851892,600386347.7,128.9168523,52.17084531,3.95452382,,,,0,0.23239503
4,10.16,27530214.06,5.911374492,2.392250498,0.872234554,,,,0,0.236996164,21898606.76,4.70213799,1.902889415,0.643373476,,,,0,0.207851892,384699456.2,82.60388195,33.42863457,3.509412855,,,,0,0.23239503
5,12.7,16757175.16,3.598153562,1.456122372,0.375776993,92925.47817,0.019953252,0.008074802,0.005514832,0.236996164,17028698.12,3.656455829,1.479716484,0.391850504,42794.32511,0.009188933,0.003718632,0.002506771,0.207851892,285787159.1,61.3651212,24.83360544,3.212197794,3131800.855,0.672470168,0.272139263,0.010839721,0.23239503
6,15.24,11248121.94,2.41523226,0.977410683,-0.022848365,299833.0221,0.064381093,0.026054127,0.025964166,0.236996164,12487135.55,2.681277174,1.085075335,0.081649417,885184.7902,0.190069673,0.076918536,0.066195303,0.207851892,208040638.4,44.67114279,18.07778609,2.894683897,36652445.06,7.870128736,3.184930918,0.149789461,0.23239503
7,17.78,9935220.079,2.133321827,0.863325477,-0.146963513,380605.3183,0.081724776,0.033072873,0.036895285,0.236996164,9898431.144,2.12542239,0.860128685,-0.150673267,726418.8401,0.155978947,0.063122496,0.068369797,0.207851892,170246411.9,36.55584713,14.79363955,2.694197328,23867981.17,5.125008281,2.074019101,0.122958328,0.23239503
8,20.32,6434547.039,1.381646258,0.559132897,-0.581368093,403712.9312,0.086686515,0.035080819,0.059037377,0.236996164,8466735.582,1.818004199,0.735720847,-0.306904516,303192.0642,0.065102357,0.026346013,0.034571786,0.207851892,140014836.2,30.06442775,12.16665301,2.498698849,19019316.17,4.083887623,1.652692146,0.119592653,0.23239503
9,22.86,5219905.482,1.120834587,0.453586066,-0.790570246,393247.5502,0.084439356,0.034171425,0.070058227,0.236996164,7573227.636,1.626147351,0.658079067,-0.418430192,228854.2593,0.049140309,0.019886395,0.029332461,0.207851892,110272359.1,23.67802914,9.5821669,2.259903756,12279327.13,2.636655895,1.067017728,0.100197129,0.23239503
10,25.4,4181755.214,0.897919684,0.363375525,-1.012318475,361405.7756,0.077602189,0.03140452,0.07954941,0.236996164,8193100.977,1.759248512,0.711943243,-0.339757085,308858.9241,0.066319163,0.026838437,0.036327968,0.207851892,88204535.99,18.93955648,7.664573354,2.036608849,9921849.924,2.130450945,0.862163671,0.101112966,0.23239503
